kind,old_id,new_id,old_rel,new_rel
thumb,2008_001,019891b0-3a36-7694-9f0a-a30421232214,images/paintings/thumbnails/2008_001_thumb.png,images/paintings/thumbnails/019891b0-3a36-7694-9f0a-a30421232214_thumb.png
large,2008_001,019891b0-3a36-7694-9f0a-a30421232214,images/paintings/large/2008_001_large.png,images/paintings/large/019891b0-3a36-7694-9f0a-a30421232214_large.png
thumb,2010_001,019891b0-3a36-7a2d-aa8d-b333792d5c4b,images/paintings/thumbnails/2010_001_thumb.png,images/paintings/thumbnails/019891b0-3a36-7a2d-aa8d-b333792d5c4b_thumb.png
large,2010_001,019891b0-3a36-7a2d-aa8d-b333792d5c4b,images/paintings/large/2010_001_large.png,images/paintings/large/019891b0-3a36-7a2d-aa8d-b333792d5c4b_large.png
thumb,2011_009,019891b0-3a36-7fa7-ac6b-833a7310fa87,images/paintings/thumbnails/2011_009_thumb.png,images/paintings/thumbnails/019891b0-3a36-7fa7-ac6b-833a7310fa87_thumb.png
large,2011_009,019891b0-3a36-7fa7-ac6b-833a7310fa87,images/paintings/large/2011_009_large.png,images/paintings/large/019891b0-3a36-7fa7-ac6b-833a7310fa87_large.png
thumb,2017_003,019891b0-3a37-7cf2-acc5-879030584d8c,images/paintings/thumbnails/2017_003_thumb.png,images/paintings/thumbnails/019891b0-3a37-7cf2-acc5-879030584d8c_thumb.png
large,2017_003,019891b0-3a37-7cf2-acc5-879030584d8c,images/paintings/large/2017_003_large.png,images/paintings/large/019891b0-3a37-7cf2-acc5-879030584d8c_large.png
thumb,2018_002,019891b0-3a37-7be5-b974-51599f6c88c6,images/paintings/thumbnails/2018_002_thumb.png,images/paintings/thumbnails/019891b0-3a37-7be5-b974-51599f6c88c6_thumb.png
large,2018_002,019891b0-3a37-7be5-b974-51599f6c88c6,images/paintings/large/2018_002_large.png,images/paintings/large/019891b0-3a37-7be5-b974-51599f6c88c6_large.png
thumb,2018_004,019891b0-3a37-7a9b-a654-57df13215f97,images/paintings/thumbnails/2018_004_thumb.png,images/paintings/thumbnails/019891b0-3a37-7a9b-a654-57df13215f97_thumb.png
large,2018_004,019891b0-3a37-7a9b-a654-57df13215f97,images/paintings/large/2018_004_large.png,images/paintings/large/019891b0-3a37-7a9b-a654-57df13215f97_large.png
thumb,2018_008,019891b0-3a37-79d4-8176-2369cbcd1e34,images/paintings/thumbnails/2018_008_thumb.png,images/paintings/thumbnails/019891b0-3a37-79d4-8176-2369cbcd1e34_thumb.png
large,2018_008,019891b0-3a37-79d4-8176-2369cbcd1e34,images/paintings/large/2018_008_large.png,images/paintings/large/019891b0-3a37-79d4-8176-2369cbcd1e34_large.png
thumb,2018_010,019891b0-3a37-713a-8d37-2ba7678bb88e,images/paintings/thumbnails/2018_010_thumb.png,images/paintings/thumbnails/019891b0-3a37-713a-8d37-2ba7678bb88e_thumb.png
large,2018_010,019891b0-3a37-713a-8d37-2ba7678bb88e,images/paintings/large/2018_010_large.png,images/paintings/large/019891b0-3a37-713a-8d37-2ba7678bb88e_large.png
thumb,2018_012,019891b0-3a37-7879-b65e-2a4041c1b247,images/paintings/thumbnails/2018_012_thumb.png,images/paintings/thumbnails/019891b0-3a37-7879-b65e-2a4041c1b247_thumb.png
large,2018_012,019891b0-3a37-7879-b65e-2a4041c1b247,images/paintings/large/2018_012_large.png,images/paintings/large/019891b0-3a37-7879-b65e-2a4041c1b247_large.png
thumb,2018_018,019891b0-3a37-7015-a8ee-5bfd9bfca2c5,images/paintings/thumbnails/2018_018_thumb.png,images/paintings/thumbnails/019891b0-3a37-7015-a8ee-5bfd9bfca2c5_thumb.png
large,2018_018,019891b0-3a37-7015-a8ee-5bfd9bfca2c5,images/paintings/large/2018_018_large.png,images/paintings/large/019891b0-3a37-7015-a8ee-5bfd9bfca2c5_large.png
thumb,2018_021,019891b0-3a37-726b-9799-9c0ed7f7caf6,images/paintings/thumbnails/2018_021_thumb.png,images/paintings/thumbnails/019891b0-3a37-726b-9799-9c0ed7f7caf6_thumb.png
large,2018_021,019891b0-3a37-726b-9799-9c0ed7f7caf6,images/paintings/large/2018_021_large.png,images/paintings/large/019891b0-3a37-726b-9799-9c0ed7f7caf6_large.png
